[2023-02-23T10:22:24.570] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:51.850] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:55.100] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:22:59.354] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:23:02.641] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:23:21.615] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:23:23.032] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:23:23.958] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:23:24.826] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:11.206] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:11.910] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:14.425] [INFO] access - path:/api/basic/enum/allByType?typeId=2&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:19.169] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=u | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:27.488] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:30.439] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UN | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:37.188] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UN | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:44.236] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
